image,labels,n_objects,contains_top,split
WpQzzDgTeENfFBy4wwbf6A,"['information--dead-end--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",6,['regulatory--yield--g1'],train
Wq0Cj4QqX-JuLrgp4OgqmA,"['warning--trams-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",6,['regulatory--no-entry--g1'],train
WqIVMQIOCHzaTel299wGFQ,"['complementary--chevron-left--g1', 'other-sign', 'other-sign']",3,['complementary--chevron-left--g1'],train
Wr7h-H9lFYsMlQtnt8KQiQ,"['regulatory--yield--g1', 'regulatory--yield--g1', 'complementary--chevron-right--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,['regulatory--yield--g1'],train
WsXgETf04DUZ2vJxBo-HAA,"['other-sign', 'information--parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1']",9,['regulatory--no-entry--g1'],train
WuOyvK-wMBTkbyqf09vfTg,"['regulatory--keep-right--g1', 'other-sign', 'regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'information--parking--g1']",10,['information--pedestrians-crossing--g1'],train
Wuf-cDTNPswe1HbZUle_Aw,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",5,['regulatory--yield--g1'],test
Wv2PGIXxb0isYYhW94NdJw,"['regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign']",4,['information--pedestrians-crossing--g1'],train
Wv4H-kK01_CEKpgotOrGUw,"['regulatory--yield--g1', 'regulatory--turn-right-ahead--g1', 'other-sign']",3,['regulatory--yield--g1'],train
WwNjwPB_bZsXXXJEa3RpAw,"['regulatory--no-parking--g2', 'regulatory--no-entry--g1', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign']",5,['regulatory--no-entry--g1'],train
WwncknFM0BDqBzWL54umXQ,"['information--disabled-persons--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['information--pedestrians-crossing--g1'],val
WxHWD9RMT28b8NlZr--Exg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--height-restriction--g2', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign']",13,['complementary--chevron-right--g1'],train
WxzqU2EVBG8ZmAgeQu1b6A,"['regulatory--roundabout--g2', 'regulatory--yield--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,['regulatory--yield--g1'],train
Wy3g-HiQMduGlYM6BUWsCQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--go-straight--g1', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",22,['information--pedestrians-crossing--g1'],train
X-Jsc83nH6wQu2FMtSRfiA,"['other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--distance--g2', 'other-sign', 'other-sign']",15,['regulatory--no-entry--g1'],train
X07jip7tpFzi9uBxGAsdvQ,"['complementary--maximum-speed-limit-35--g1', 'warning--double-turn-first-right--g1', 'complementary--chevron-right--g1']",3,['complementary--chevron-right--g1'],test
X0B4ghkTv4Sa0pJbYfKFtA,"['regulatory--yield--g1', 'warning--slippery-road-surface--g1', 'other-sign', 'other-sign']",4,['regulatory--yield--g1'],train
X0hGjGzGEU3srB_97UxWkQ,"['regulatory--maximum-speed-limit-40--g1', 'warning--other-danger--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",7,['complementary--chevron-left--g1'],val
X2j9nzvoB97jBnI2W44DQQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-80--g1', 'regulatory--no-entry--g1', 'information--parking--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,['regulatory--no-entry--g1'],test
X3RRqYazE0vjWfA0gpA-nw,"['regulatory--maximum-speed-limit-100--g3', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,['regulatory--no-entry--g1'],train
X3lylLI2T-GqskcfxJAOVw,"['warning--roadworks--g4', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'regulatory--maximum-speed-limit-40--g1']",8,['complementary--chevron-right--g1'],train
X4Gb_u7bclffbn31Rdj4ng,"['warning--road-bump--g2', 'regulatory--yield--g1', 'warning--road-bump--g2', 'other-sign', 'warning--road-bump--g2']",5,['regulatory--yield--g1'],train
X5YieHFKmosX0ZYTVqnGnw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",5,['complementary--chevron-left--g1'],train
X6kEwkNWQac67ZwSPpXFXw,"['regulatory--no-heavy-goods-vehicles--g1', 'information--parking--g1', 'regulatory--go-straight--g1', 'other-sign', 'information--end-of-built-up-area--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'other-sign', 'information--motorway--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--go-straight--g1']",16,['regulatory--no-entry--g1'],train
X6lV7nhXRQhPiT1xd-Pb8w,"['other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,"['regulatory--no-entry--g1', 'information--pedestrians-crossing--g1']",val
X7dWCE5hcxqq7XDZQ9AfCQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--priority-road--g4', 'other-sign']",15,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
XAEQt2zGGS05AVtwKsUb0Q,"['warning--double-curve-first-left--g2', 'regulatory--lane-control--g1', 'complementary--chevron-left--g1', 'complementary--maximum-speed-limit-20--g1', 'complementary--maximum-speed-limit-20--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'warning--pass-left-or-right--g2', 'other-sign', 'other-sign']",14,['complementary--chevron-left--g1'],train
XAbGtqUIkpa-lKpNaauqGg,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--motorway--g1', 'other-sign', 'regulatory--no-right-turn--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--no-entry--g1', 'regulatory--no-right-turn--g1', 'regulatory--no-left-turn--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",26,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",val
XAgPb2ao72tqDyCQAOb0yA,"['other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",8,['complementary--chevron-left--g1'],train
XAo5VdDpb4lWAoaMrtkb_A,"['regulatory--no-motorcycles--g1', 'other-sign', 'other-sign', 'information--motorway--g1', 'regulatory--no-bicycles--g1', 'other-sign', 'regulatory--no-motorcycles--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-overtaking--g1', 'regulatory--no-pedestrians--g1', 'other-sign', 'regulatory--maximum-speed-limit-40--g1', 'other-sign', 'regulatory--maximum-speed-limit-110--g1', 'other-sign', 'other-sign', 'regulatory--go-straight--g1', 'other-sign']",19,['regulatory--no-entry--g1'],train
XAzbpgiNDgUsevhYF6ujsQ,"['information--motorway--g1', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-70--g1', 'complementary--pass-right--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",16,['regulatory--no-entry--g1'],train
XCEceIcyfkFUl9D6-Xj7CA,"['warning--traffic-merges-right--g2', 'regulatory--height-limit--g1', 'other-sign', 'regulatory--height-limit--g1', 'regulatory--height-limit--g1', 'complementary--chevron-right--g1', 'other-sign', 'regulatory--yield--g1']",8,"['regulatory--yield--g1', 'complementary--chevron-right--g1']",val
XCGhT500DmcsI3kJ8Pipqw,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1']",2,['complementary--chevron-right--g1'],test
XCTpHqodMF8de1hHD1v0Fg,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['regulatory--yield--g1'],train
XD5hNTGGRnSDKMNb6oOecQ,"['regulatory--one-way-right--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--one-way-straight--g1', 'warning--uneven-road--g6', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1']",19,['information--pedestrians-crossing--g1'],train
XD5pxbYtpEbAusMsMb2CTA,"['regulatory--no-entry--g1', 'regulatory--keep-right--g4']",2,['regulatory--no-entry--g1'],train
XDZMTMbZ-eISki95x-b9Gw,"['other-sign', 'information--tram-bus-stop--g2', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",5,['information--pedestrians-crossing--g1'],val
XENBsVS33xfrY_TmKLU0HA,"['regulatory--no-parking--g1', 'other-sign', 'information--pedestrians-crossing--g1']",3,['information--pedestrians-crossing--g1'],train
XFKV_lkSOMCixK-4L4DmDg,"['other-sign', 'other-sign', 'other-sign', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'warning--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign']",9,['information--pedestrians-crossing--g1'],train
XFb8MNtXYrmoo1787db0ig,"['regulatory--maximum-speed-limit-50--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'warning--other-danger--g1', 'other-sign', 'other-sign', 'information--motorway--g1']",17,['information--pedestrians-crossing--g1'],train
XGAHf4Jt4ZP5k_kAQ88X2w,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,['complementary--chevron-left--g1'],train
XGJHoUKfpu-A-kbbfFmxTw,"['other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",6,['information--pedestrians-crossing--g1'],train
XKbZYFLXXE9ZDB_4WZQUOg,"['other-sign', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,['complementary--chevron-right--g1'],train
XKr5xNUuJuokcp_zXm9aAQ,"['other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'information--bike-route--g1', 'other-sign', 'regulatory--no-right-turn--g2', 'other-sign', 'other-sign', 'regulatory--no-right-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",16,['regulatory--yield--g1'],train
XL5HWNEq7lzA79MQWrpmSg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-pedestrians--g2', 'other-sign', 'other-sign', 'regulatory--no-turn-on-red--g1', 'other-sign']",17,['regulatory--no-entry--g1'],test
XMvUMuprasboFeTKnyTntg,"['warning--road-widens-right--g1', 'other-sign', 'complementary--distance--g3', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right-unsure--g6']",10,['complementary--chevron-right--g1'],train
XOGSRISgdHqUE-NCnyxUYg,"['regulatory--no-u-turn--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'regulatory--keep-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g5', 'complementary--chevron-left--g5', 'complementary--chevron-left--g5', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'regulatory--keep-left--g1', 'other-sign', 'warning--curve-left--g1', 'complementary--chevron-left--g1', 'other-sign']",20,"['complementary--chevron-left--g1', 'regulatory--yield--g1']",val
XOo0VYMEc6ltjIVFRozUpw,"['regulatory--no-overtaking--g5', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-overtaking--g5', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'regulatory--width-limit--g1', 'other-sign', 'complementary--chevron-left--g1']",14,['complementary--chevron-left--g1'],train
XP0Zcpa5tXGZz9q-HuT2Aw,"['regulatory--yield--g1', 'regulatory--maximum-speed-limit-90--g1', 'regulatory--turn-right-ahead--g1', 'other-sign', 'other-sign']",5,['regulatory--yield--g1'],train
XPkRX27CV4jqDEjLDVw7NQ,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['regulatory--yield--g1'],train
XQJ9jmFruR36pwx7TFzWiw,"['regulatory--no-entry--g1', 'information--dead-end--g1', 'information--parking--g1', 'complementary--go-right--g1', 'other-sign', 'other-sign']",6,['regulatory--no-entry--g1'],test
XQgge1f4blPelwbzug2kiw,"['regulatory--no-stopping--g2', 'other-sign', 'other-sign', 'regulatory--no-stopping--g2', 'warning--winding-road-first-left--g1', 'regulatory--stop--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'regulatory--no-straight-through--g1']",10,['regulatory--yield--g1'],train
XQlswMao9VQ5tMvwk8Ld8A,"['warning--curve-left--g2', 'complementary--maximum-speed-limit-45--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",5,['complementary--chevron-left--g1'],train
XR6WT5NNSn-X9RfVuOcF7w,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--airport--g2', 'other-sign', 'other-sign', 'warning--texts--g2', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,['regulatory--yield--g1'],test
XRVGopwHw00rA0S0_-LsPA,"['regulatory--yield--g1', 'regulatory--bicycles-only--g1']",2,['regulatory--yield--g1'],train
XTA8FD23UOmhFz7VeaG4ww,"['other-sign', 'warning--roadworks--g1', 'regulatory--no-parking--g1', 'regulatory--go-straight--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",7,['regulatory--no-entry--g1'],train
XTfKSoHgipuijEg0PJS1aw,"['other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--go-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,['complementary--chevron-left--g1'],train
XUWLjfqJa-Xs_8HIlT4qoQ,"['warning--pedestrians-crossing--g1', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'regulatory--maximum-speed-limit-30--g1', 'regulatory--maximum-speed-limit-100--g1']",5,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
XVcMGNOfF57WJKP5hVTgmw,"['regulatory--one-way-left--g3', 'other-sign', 'complementary--one-direction-right--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-right--g3', 'other-sign', 'regulatory--one-way-left--g3', 'other-sign']",12,['regulatory--no-entry--g1'],train
XWjcl_Hf-uNphEkLUIqtlA,"['warning--crossroads--g1', 'information--pedestrians-crossing--g1', 'other-sign']",3,['information--pedestrians-crossing--g1'],test
XZlpjfWEgfUL_jPQihFwow,"['regulatory--road-closed-to-vehicles--g1', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g1', 'other-sign', 'regulatory--end-of-prohibition--g1', 'other-sign', 'other-sign']",7,['regulatory--no-entry--g1'],train
XZxHUVH_vjJSicNZtNO30A,"['other-sign', 'regulatory--keep-left--g2', 'complementary--both-directions--g1', 'regulatory--maximum-speed-limit-10--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",7,['regulatory--yield--g1'],train
XZxT-YP0wW4IvNkjb3REig,"['other-sign', 'other-sign', 'warning--road-narrows-right--g2', 'other-sign', 'other-sign', 'warning--uneven-roads-ahead--g1', 'complementary--distance--g3', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",11,['regulatory--no-entry--g1'],test
Xad7lEcw82JI2dVnZKopYA,"['regulatory--weight-limit--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-parking--g1']",6,['regulatory--no-entry--g1'],val
XcpHD1brWXluuhlwc7d9bw,"['regulatory--no-overtaking--g5', 'warning--curve-left--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",7,['complementary--chevron-left--g1'],train
Xd3Mon_RE-Wn4HUuLjgsXw,"['regulatory--yield--g1', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'regulatory--turn-right-ahead--g1', 'information--tram-bus-stop--g2', 'information--pedestrians-crossing--g1', 'other-sign']",7,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
XdrguGYffzYcn4YdVjA-Dg,['complementary--chevron-left--g1'],1,['complementary--chevron-left--g1'],train
XeGeWJTiap-p1Dq-PuU29g,"['regulatory--no-overtaking--g1', 'regulatory--maximum-speed-limit-80--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",5,['regulatory--yield--g1'],test
XfpF395gow-QfUbbg-1oPw,"['information--pedestrians-crossing--g1', 'information--road-bump--g1', 'regulatory--maximum-speed-limit-30--g1', 'other-sign', 'other-sign']",5,['information--pedestrians-crossing--g1'],val
Xfsx21Uy3Uo30LYw9zNWxQ,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,['complementary--chevron-left--g1'],train
XgJ-UpXeoGpKM7fMs4YiQg,"['other-sign', 'regulatory--keep-right--g4', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign']",7,['regulatory--yield--g1'],train
XgouLRrSYJjJ7gGf8mCAqw,"['regulatory--no-heavy-goods-vehicles--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--go-straight-or-turn-left--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",9,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",test
XjdjZUAaHbcaNmdr3o2hMA,['complementary--chevron-right--g1'],1,['complementary--chevron-right--g1'],train
XkDjCZm8sxwszkTQEqHWtw,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'regulatory--triple-lanes-turn-left-center-lane--g1', 'regulatory--triple-lanes-turn-left-center-lane--g1']",4,['complementary--chevron-right--g1'],test
XkOdnPhhpXV94Go2FaWlaQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--priority-road--g4', 'warning--railroad-crossing-with-barriers--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",31,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
XkrsctCwMzHDN99MUC_TOQ,"['regulatory--yield--g1', 'regulatory--go-straight--g1', 'other-sign', 'other-sign']",4,['regulatory--yield--g1'],train
XlSE7S_Q-TDdY8R0RJzhAg,"['other-sign', 'regulatory--keep-right--g1', 'other-sign', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'regulatory--maximum-speed-limit-40--g1', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'regulatory--pass-on-either-side--g1', 'other-sign', 'other-sign']",12,['regulatory--yield--g1'],train
XpdXwYyoA35jCCbmQk3p7Q,"['regulatory--no-parking--g2', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign']",4,['regulatory--no-entry--g1'],val
Xq9xUELGSC-2ceyqCiptBA,"['regulatory--keep-right--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1']",4,['regulatory--yield--g1'],test
XrMDS73xGimskGte8I_GTw,"['regulatory--no-parking--g2', 'regulatory--maximum-speed-limit-55--g2', 'regulatory--maximum-speed-limit-55--g2', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign']",7,['regulatory--no-entry--g1'],train
XrOwgWixk_GZgiZlzDEC_A,"['other-sign', 'regulatory--height-limit--g1', 'other-sign', 'other-sign', 'information--end-of-motorway--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--obstacle-delineator--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--pass-on-either-side--g1']",17,['complementary--chevron-left--g1'],train
Xruc7IhjE42Facs0E5-8Fg,"['regulatory--maximum-speed-limit-led-80--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,['regulatory--no-entry--g1'],train
XsW1nJpD3Nb6y4FXEPbDpA,"['regulatory--no-entry--g1', 'regulatory--no-right-turn--g2', 'regulatory--no-right-turn--g1', 'regulatory--no-entry--g1', 'regulatory--bicycles-only--g1', 'regulatory--no-heavy-goods-vehicles--g4', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",16,['regulatory--no-entry--g1'],val
XswTFEqv-yTN18bGMDd6dw,"['other-sign', 'complementary--chevron-right--g1', 'other-sign']",3,['complementary--chevron-right--g1'],train
Xt_VYuHIAo0VF_RNDMusBg,"['regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,['regulatory--no-entry--g1'],test
XtlRZ0FuIl9tCn6cnJr7-w,"['warning--roundabout--g1', 'other-sign', 'regulatory--keep-right--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",12,['regulatory--yield--g1'],train
Xufa-TDQOsCP5Bhig4QH4Q,"['regulatory--maximum-speed-limit-30--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--pass-on-either-side--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--curve-left--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",24,['regulatory--yield--g1'],train
Xuy2YiKJgPZOnm3SV3DUcw,"['other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'warning--bicycles-crossing--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--bicycles-only--g1', 'other-sign', 'regulatory--keep-right--g1']",10,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
XwPgZ9oLfYDUwKNSiVTcbw,"['information--pedestrians-crossing--g1', 'warning--other-danger--g1', 'other-sign']",3,['information--pedestrians-crossing--g1'],train
Xx0L8yYdkXmGjpaPmdF1PA,['information--pedestrians-crossing--g1'],1,['information--pedestrians-crossing--g1'],train
XxSgmsKrcRTT7PCmUv4uGA,"['other-sign', 'other-sign', 'regulatory--turn-right--g3', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",6,['complementary--chevron-left--g1'],val
XzJUNdgvsQI0XBUR5u4vAQ,"['warning--curve-left--g2', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,['complementary--chevron-left--g1'],train
XzoQkGN9umditZfAqIrtEg,"['other-sign', 'regulatory--no-entry--g1', 'other-sign']",3,['regulatory--no-entry--g1'],train
Y-GecmTk9Ad4BQYEVy_9og,"['regulatory--one-way-left--g1', 'regulatory--no-entry--g1', 'regulatory--turn-right-ahead--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1']",6,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
Y2KjMYXkXRnpOdOV2iVOhQ,"['regulatory--yield--g1', 'regulatory--radar-enforced--g1', 'regulatory--turn-right--g1']",3,['regulatory--yield--g1'],train
Y2RlR2dkM0D9hbgxFWlDow,"['regulatory--yield--g1', 'regulatory--turn-right--g1', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,['regulatory--yield--g1'],train
Y2VZaNKlI3ly8nEvvYGowA,['information--pedestrians-crossing--g1'],1,['information--pedestrians-crossing--g1'],val
Y2yqKOBB_Zd7SEob_72Vhw,"['other-sign', 'other-sign', 'complementary--obstacle-delineator--g2', 'complementary--obstacle-delineator--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign']",16,['complementary--chevron-right--g1'],train
Y5cwrdPPTEk2yOhkePzKdQ,['regulatory--yield--g1'],1,['regulatory--yield--g1'],val
Y6UbHEj_zDUxaSq-7ge2vQ,"['regulatory--maximum-speed-limit-30--g1', 'regulatory--roundabout--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['regulatory--yield--g1'],val
Y75CB-RJueYKh-zXBPhLaQ,"['warning--roadworks--g4', 'complementary--chevron-right--g1', 'regulatory--no-u-turn--g1']",3,['complementary--chevron-right--g1'],train
Y8k6HLO3Sog0XAkEmLyp8w,"['regulatory--no-right-turn--g2', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,['information--pedestrians-crossing--g1'],train
Y8mTM7ByOWkPvde9OP68qw,"['complementary--chevron-right--g1', 'warning--winding-road-first-right--g1', 'other-sign', 'complementary--chevron-right--g1']",4,['complementary--chevron-right--g1'],train
