image,labels,n_objects,split,contains_top
SXPsz0KeQTiKDCuPSTJjjA,"['other-sign', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--priority-road--g4', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",21,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
SYujt4Prvwzbsdv3nWYq2w,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--roundabout--g1', 'other-sign', 'regulatory--no-left-turn--g2', 'regulatory--no-entry--g1', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
SarWfLQq2vCBCdHmVlCgHg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g4', 'regulatory--yield--g1', 'other-sign', 'regulatory--maximum-speed-limit-35--g2', 'other-sign']",9,test,"['other-sign', 'regulatory--yield--g1']"
SaucUVQZtrUn8zZxC7Kz5g,"['complementary--extent-of-prohibition-area-both-direction--g1', 'warning--texts--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--extent-of-prohibition-area-both-direction--g1', 'complementary--extent-of-prohibition-area-both-direction--g1', 'other-sign']",9,train,['other-sign']
ScRJ2XqN9Af1kaYFgqHaug,"['other-sign', 'other-sign', 'regulatory--no-parking--g5', 'regulatory--no-parking--g5', 'regulatory--no-left-turn--g1', 'other-sign']",6,train,['other-sign']
SfGHOXxiNlSVbtkgQIb7UA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",4,test,"['other-sign', 'complementary--chevron-left--g1']"
SfSKCtAfaTyGg_sc0NQ_8w,"['other-sign', 'regulatory--buses-only--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--pedestrians-only--g1', 'regulatory--road-closed-to-vehicles--g3', 'regulatory--keep-right--g1', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'other-sign']",20,val,"['other-sign', 'regulatory--no-entry--g1']"
Sh0DsO27PYqjj0xC0lCQSw,"['regulatory--priority-over-oncoming-vehicles--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--no-entry--g1']"
SjJxIWgl-5KHaaF-WzAmqg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-pedestrians--g2', 'other-sign', 'regulatory--dual-lanes-turn-left-no-u-turn--g1', 'regulatory--go-straight-or-turn-left--g2']",11,train,['other-sign']
SjYXClAJZnslD1UIxgDWMg,"['regulatory--yield--g1', 'regulatory--roundabout--g1']",2,train,['regulatory--yield--g1']
SkzWgBAbYvACk1HUOLIwyg,"['complementary--chevron-left--g1', 'warning--horizontal-alignment-right--g1', 'complementary--chevron-left--g1', 'other-sign']",4,train,"['other-sign', 'complementary--chevron-left--g1']"
SogxeShkO29Av5BVnbbOXg,"['other-sign', 'regulatory--turn-left--g3', 'other-sign', 'other-sign']",4,train,['other-sign']
SpEVv1Btgkn3zMwrFOgtfA,"['complementary--chevron-right--g1', 'warning--turn-right--g1', 'warning--slippery-road-surface--g2', 'complementary--chevron-left--g1', 'regulatory--detour-left--g1', 'other-sign', 'other-sign']",7,train,"['other-sign', 'complementary--chevron-left--g1']"
Suw--w5vyxiJrqdeKzgHVg,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'regulatory--turn-left--g3', 'warning--narrow-bridge--g1', 'regulatory--give-way-to-oncoming-traffic--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",13,train,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
SwqJ2csD70gDVrib6ccNpQ,"['complementary--chevron-left--g1', 'other-sign', 'other-sign']",3,train,"['other-sign', 'complementary--chevron-left--g1']"
SyrTuifFRruW13pUXsgiJg,"['regulatory--height-limit--g1', 'regulatory--yield--g1', 'other-sign', 'regulatory--height-limit--g1']",4,train,"['other-sign', 'regulatory--yield--g1']"
SzKbh_GDxX7_wtkk-DYksQ,"['other-sign', 'regulatory--yield--g1', 'regulatory--yield--g1', 'complementary--obstacle-delineator--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-u-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",17,test,"['other-sign', 'regulatory--yield--g1']"
T-fHdd6IajqzuiIXrSFl0Q,"['warning--road-bump--g1', 'information--parking--g1', 'regulatory--no-entry--g1', 'information--road-bump--g1', 'other-sign', 'other-sign', 'complementary--go-right--g1', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",20,train,"['other-sign', 'regulatory--no-entry--g1']"
T1oUmczUqvX4ougJukIqsg,"['regulatory--yield--g1', 'regulatory--turn-right-ahead--g1', 'regulatory--end-of-speed-limit-zone--g1', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
T49ivR6ypEMACqc-UmKPmw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",3,train,['complementary--chevron-left--g1']
T8JHStJ3obAJZpL57AZNdg,"['other-sign', 'other-sign', 'other-sign']",3,train,['other-sign']
T8pOxTaJ9kB29Rm6tuk32w,"['regulatory--one-way-right--g3', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'warning--railroad-intersection--g3', 'regulatory--no-entry--g1']",5,test,['regulatory--no-entry--g1']
TBestylAIY6HFw_t6UVNCw,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",6,train,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
TJ_7Td9UyfbwnVeoZJkSGA,"['other-sign', 'regulatory--stop--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'other-sign', 'other-sign', 'information--parking--g1']",8,train,"['other-sign', 'information--pedestrians-crossing--g1']"
TPQ10BbGG0mIAwpignCK_Q,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--except-bicycles--g1', 'other-sign', 'regulatory--priority-road--g4', 'regulatory--bicycles-only--g1', 'other-sign', 'regulatory--go-straight--g1', 'regulatory--maximum-speed-limit-30--g1', 'information--bus-stop--g1', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'information--parking--g1']",21,train,"['other-sign', 'regulatory--no-entry--g1']"
TPSB1VVOvfh268BWCfSQfw,"['warning--railroad-crossing-without-barriers--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'complementary--turn-left--g2', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",17,train,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
TUyvJbrY58bl4bILpg1w5g,"['other-sign', 'other-sign', 'other-sign', 'other-sign']",4,train,['other-sign']
TY4Siaxypz_-e3qxf8GK1Q,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",6,train,['complementary--chevron-left--g1']
TYWiBGmWUSWuAeVE4AzP5Q,"['regulatory--maximum-speed-limit-50--g1', 'other-sign', 'other-sign', 'other-sign', 'complementary--obstacle-delineator--g2', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'regulatory--no-entry--g1', 'other-sign', 'information--end-of-built-up-area--g1', 'other-sign', 'complementary--chevron-right--g5', 'information--motorway--g1', 'information--motorway--g1', 'regulatory--maximum-speed-limit-100--g1', 'regulatory--no-pedestrians--g1', 'information--motorway--g1', 'regulatory--maximum-speed-limit-70--g1', 'regulatory--maximum-speed-limit-70--g1', 'information--limited-access-road--g1', 'other-sign', 'regulatory--no-overtaking--g1', 'regulatory--maximum-speed-limit-50--g1', 'regulatory--maximum-speed-limit-80--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",28,val,"['other-sign', 'regulatory--no-entry--g1', 'complementary--chevron-left--g1']"
TZM8cHsXCQdv1B02dmC6GA,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1']",3,test,['information--pedestrians-crossing--g1']
TeJ-2cugB0ITcIYFsIicbQ,"['other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
TpB1k5v2tS0vMI7zCK7jUQ,"['regulatory--maximum-speed-limit-40--g3', 'regulatory--reversible-lanes--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,['other-sign']
TpUnwnQrWFDY3U9478tixg,"['regulatory--no-stopping--g15', 'regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'regulatory--end-of-speed-limit-zone--g1', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
TtvkiedsWlvs38PpJ8_GKA,"['regulatory--no-entry--g1', 'regulatory--reversible-lanes--g2', 'regulatory--reversible-lanes--g2', 'regulatory--reversible-lanes--g2', 'other-sign', 'other-sign', 'other-sign']",7,val,"['other-sign', 'regulatory--no-entry--g1']"
TvDiGxdWXwwE7aNXqDU1RA,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,train,['complementary--chevron-left--g1']
Twn2lsbTAECxh39Vs2-WSQ,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--obstacle-delineator--g2', 'other-sign']",11,train,"['other-sign', 'regulatory--yield--g1']"
Tx_0pmTncDCzMOTfUq1aFA,"['regulatory--no-left-turn--g1', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'regulatory--maximum-speed-limit-50--g1', 'regulatory--maximum-speed-limit-70--g1', 'regulatory--maximum-speed-limit-90--g1', 'regulatory--maximum-speed-limit-90--g1', 'other-sign', 'regulatory--no-entry--g1']",9,val,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
U0npSKjS7pcomwjpBj--Qg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",7,train,"['other-sign', 'complementary--chevron-left--g1']"
U67QE36ax-e0_vj3J-ZWhQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,['other-sign']
UC43DNySzmzlgz34v7LPbA,"['warning--traffic-signals--g2', 'other-sign', 'other-sign', 'warning--curve-left--g2', 'other-sign', 'complementary--chevron-left--g1', 'warning--curve-left--g2', 'other-sign', 'complementary--obstacle-delineator--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",13,train,"['other-sign', 'complementary--chevron-left--g1']"
UEi45yqJTPBqBxb6dZmCwg,"['regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--no-entry--g1']"
UEk830ng3ejaTVh5rf4u8w,"['other-sign', 'warning--kangaloo-crossing--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",7,train,"['other-sign', 'complementary--chevron-left--g1']"
UFCrw3jEBpODzqrWU8kt1Q,['regulatory--yield--g1'],1,train,['regulatory--yield--g1']
UGz3VSqejSVRZVpulISCxg,"['regulatory--priority-road--g4', 'regulatory--maximum-speed-limit-70--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1']",5,train,"['other-sign', 'regulatory--yield--g1']"
UIp80K-v7hOMO9HOaXTsbw,['regulatory--no-entry--g1'],1,train,['regulatory--no-entry--g1']
UJ5h213j48ITH7fbkxFKNQ,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,test,"['other-sign', 'regulatory--no-entry--g1']"
UNcoDJhGyj2BCynPufqv7A,"['regulatory--maximum-speed-limit-30--g1', 'regulatory--bicycles-only--g1', 'regulatory--keep-left--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--road-bump--g1']",12,test,"['other-sign', 'regulatory--yield--g1']"
UNk1oQ2nJLeQKlDtXcBb7w,"['regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
USlPfmA1ulCBuds7xIu_Zw,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--end-of-priority-road--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",8,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
UTW0Hha4iUynNQjGGIvmuw,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
U_fNvQ6VhxCwVaxr-d8AWg,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
UiB2ahVjs4pjanLXDu5iWw,"['other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--curve-left--g2', 'warning--curve-left--g2', 'other-sign', 'other-sign']",19,train,"['other-sign', 'complementary--chevron-left--g1']"
UkFkRyiIZUBvMSzurdYcHA,"['other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1']",4,train,"['other-sign', 'information--pedestrians-crossing--g1']"
UlL0xR0d8OYSRgsbiKEjEQ,"['regulatory--maximum-speed-limit-40--g1', 'regulatory--no-stopping--g15', 'warning--roadworks--g1', 'information--pedestrians-crossing--g1']",4,train,['information--pedestrians-crossing--g1']
UnLnqqIdA74WJsORV-CGhQ,"['regulatory--priority-over-oncoming-vehicles--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,train,['other-sign']
UnkY1fI_HRGoMZm7JWkqXA,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--maximum-speed-limit-100--g1', 'regulatory--maximum-speed-limit-100--g1']",9,train,"['other-sign', 'regulatory--no-entry--g1']"
UtLPXzSkbDDOOCgPCLUFwQ,"['regulatory--yield--g1', 'other-sign']",2,test,"['other-sign', 'regulatory--yield--g1']"
UuCrMUhPNB8qHm1QxxcZdg,"['other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'information--pedestrians-crossing--g1']"
V2FZCjslTI15uIiupC0O5A,"['other-sign', 'other-sign', 'other-sign']",3,train,['other-sign']
V6_dVCxc3xNdJ4N67P6SQg,"['warning--texts--g2', 'complementary--chevron-left--g1', 'warning--hairpin-curve-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'complementary--maximum-speed-limit-20--g1', 'other-sign']",9,test,"['other-sign', 'complementary--chevron-left--g1']"
V7Kr3DqZM0gDMrMNYClVhQ,"['information--pedestrians-crossing--g1', 'other-sign']",2,train,"['other-sign', 'information--pedestrians-crossing--g1']"
VEqUQHP5KT15wZRrWUrISw,"['regulatory--keep-left--g1', 'other-sign', 'other-sign', 'warning--curve-right--g2', 'other-sign', 'warning--railroad-crossing-without-barriers--g4', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--u-turn--g1', 'complementary--obstacle-delineator--g2']",12,train,"['other-sign', 'regulatory--no-entry--g1']"
VHZIN5rI5OOao5GjGO6OAw,"['other-sign', 'regulatory--height-limit--g1', 'regulatory--no-entry--g1', 'regulatory--go-straight--g1']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
VKQaERoqSQF3yx4xt2WNBw,"['regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,"['other-sign', 'regulatory--no-entry--g1']"
VM_ocSs1IQlSg_5QNorFxA,"['warning--trail-crossing--g2', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,train,"['other-sign', 'regulatory--yield--g1']"
VR4NuSuQzlUJpEz_8UoNaw,"['other-sign', 'complementary--chevron-left--g1', 'warning--double-curve-first-right--g1', 'regulatory--maximum-speed-limit-40--g1']",4,train,"['other-sign', 'complementary--chevron-left--g1']"
VVM3orFRlDpEX1Gt-wpaOA,"['warning--double-curve-first-left--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-overtaking--g5']",10,val,"['other-sign', 'complementary--chevron-left--g1']"
VX2hV4Za-__VGZaE7xIiLA,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'complementary--go-left--g1', 'other-sign', 'other-sign']",6,train,"['other-sign', 'regulatory--yield--g1']"
VhUThAV68erNuKMdZiUVCg,"['warning--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'information--food--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,train,"['other-sign', 'information--pedestrians-crossing--g1']"
VovUiSJzKbG5KLGjBUhvPA,"['other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--pedestrians-only--g2', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
VqjfSz550N8wGojO_X2qSw,"['regulatory--go-straight--g1', 'regulatory--turn-left--g1', 'regulatory--yield--g1', 'regulatory--go-straight--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Vv1jB3OLmANFQx6vLA8upw,"['regulatory--turn-right--g2', 'other-sign', 'regulatory--turn-right-ahead--g2']",3,val,['other-sign']
VvC5gNxjreXI7t1Jm5_-nA,"['other-sign', 'other-sign', 'other-sign', 'regulatory--no-pedestrians--g2', 'regulatory--no-turn-on-red--g1', 'other-sign']",6,test,['other-sign']
VwjjrUisq-g01w37k8Peug,"['information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'regulatory--no-stopping--g15', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
VzwUhuxHoVJIj0B-vz8wPg,"['regulatory--maximum-speed-limit-10--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-stopping--g15', 'regulatory--no-entry--g1', 'other-sign']",8,train,"['other-sign', 'regulatory--no-entry--g1']"
W-6s9zc-fzuKQcyjHucXYg,"['warning--winding-road-first-left--g1', 'other-sign']",2,val,['other-sign']
W3N5AYoUGwPeTWwdFKnfMg,"['regulatory--keep-right--g1', 'regulatory--no-motor-vehicles-except-motorcycles--g2', 'regulatory--no-entry--g1', 'other-sign']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
W3rWtXmqU--oy1-MAsQdAQ,"['warning--railroad-crossing-without-barriers--g3', 'other-sign', 'complementary--chevron-left--g1']",3,val,"['other-sign', 'complementary--chevron-left--g1']"
W4W-X2iM-ECYLFQI-HqeTA,"['other-sign', 'warning--texts--g2', 'complementary--extent-of-prohibition-area-both-direction--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,val,['other-sign']
W7fl11iKsMFHGRBjW_kDyg,"['warning--curve-left--g2', 'complementary--maximum-speed-limit-30--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
WJ35_f7m_yilsnZ3lubTqA,"['regulatory--turn-right--g1', 'regulatory--stop--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--roundabout--g1', 'regulatory--keep-right--g1', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'other-sign']",9,test,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
WLdge_lvjiwz35Sn_HIGfA,"['warning--uneven-road--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1']",4,test,"['other-sign', 'complementary--chevron-left--g1']"
WOXOFJs2N67uG3NGNq2Apw,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1']"
WS9CIRlmGNTCNpfNnGCSfg,"['other-sign', 'regulatory--turn-left--g2', 'regulatory--keep-right--g4', 'regulatory--keep-right--g4', 'regulatory--turn-right--g3', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,train,"['other-sign', 'regulatory--no-entry--g1']"
WSCuWUqychpe--sNxHi8Rw,"['information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",5,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
WUNKMHmlbOpquxNeKeIv8A,['other-sign'],1,train,['other-sign']
WUkdV6UShW2ds3VJ_JMZ5g,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1']",5,train,"['regulatory--no-entry--g1', 'complementary--chevron-left--g1']"
WWc5xFKweaNSD16igRJe9Q,"['information--tram-bus-stop--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",5,train,['other-sign']
WcpFA74dbeBIpwx9DRubCg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--pedestrians-only--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",8,train,"['other-sign', 'regulatory--no-entry--g1']"
Wf-BCC5QXzvcTqINMuNJJA,"['regulatory--no-entry--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",4,val,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Wg_4bhV8A6YokfIT-w3nDw,"['other-sign', 'other-sign', 'regulatory--one-way-left--g1']",3,train,['other-sign']
WkpQVLVFoUzrYBpuIYaRzw,"['information--emergency-facility--g2', 'other-sign', 'regulatory--yield--g1', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
Wo0WSpLx41EEHegz8m1hSg,"['regulatory--pedestrians-only--g1', 'regulatory--one-way-left--g1', 'warning--other-danger--g1', 'other-sign', 'regulatory--go-straight--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'regulatory--bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,train,"['other-sign', 'information--pedestrians-crossing--g1']"
WoBXAO0XIYMNO5Z4rPKIxw,"['regulatory--priority-road--g4', 'regulatory--no-entry--g1', 'other-sign', 'information--pedestrians-crossing--g1']",4,train,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']"
WpfceUYhExogf-AyWn0_tw,"['regulatory--maximum-speed-limit-40--g1', 'other-sign', 'warning--other-danger--g1', 'regulatory--go-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--end-of-prohibition--g1']",8,val,['other-sign']
WqIVMQIOCHzaTel299wGFQ,"['complementary--chevron-left--g1', 'other-sign', 'other-sign']",3,train,"['other-sign', 'complementary--chevron-left--g1']"
WsXgETf04DUZ2vJxBo-HAA,"['other-sign', 'information--parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-entry--g1']",9,train,"['other-sign', 'regulatory--no-entry--g1']"
WuOyvK-wMBTkbyqf09vfTg,"['regulatory--keep-right--g1', 'other-sign', 'regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'information--parking--g1']",10,val,"['other-sign', 'information--pedestrians-crossing--g1']"
Wv2PGIXxb0isYYhW94NdJw,"['regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign']",4,test,"['other-sign', 'information--pedestrians-crossing--g1']"
WxzqU2EVBG8ZmAgeQu1b6A,"['regulatory--roundabout--g2', 'regulatory--yield--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,train,"['other-sign', 'regulatory--yield--g1']"
X-Jsc83nH6wQu2FMtSRfiA,"['other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--distance--g2', 'other-sign', 'other-sign']",15,train,"['other-sign', 'regulatory--no-entry--g1']"
X0hGjGzGEU3srB_97UxWkQ,"['regulatory--maximum-speed-limit-40--g1', 'warning--other-danger--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",7,train,"['other-sign', 'complementary--chevron-left--g1']"
X2j9nzvoB97jBnI2W44DQQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-80--g1', 'regulatory--no-entry--g1', 'information--parking--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",14,train,"['other-sign', 'regulatory--no-entry--g1']"
X3RRqYazE0vjWfA0gpA-nw,"['regulatory--maximum-speed-limit-100--g3', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
